"","Gene","padj"
"1754","TMEM268",0.000100007778822095
"249","AC020549.2",0.000100492044864806
"1290","TMEM138",0.000100681199159579
"1669","RPLP2",0.000100681199159579
"2085","CIDEB",0.00010070101267565
"2879","DENND2A",0.000100723992041839
"449","NAIPP4",0.000100796340702872
"1134","SMARCE1P6",0.000100809707529236
"2595","PROM2",0.000100824739324499
"2380","BTBD11",0.000100834776256421
"1908","MAP3K8",0.000101178087900041
"1973","TSSC2",0.000101373037202258
"1826","FBXO43",0.000101430827422856
"90","CCDC78",0.000101508373720225
"2529","CSNK1A1",0.000101807409816173
"2764","LIPA",0.000101910738885839
"1358","IKZF1",0.000102130576312262
"1550","MORC1",0.000102130576312262
"2338","DENND2D",0.000102130576312262
"3664","ITGB4",0.000102149405932464
"3639","CCR5",0.000102471537404788
"117","THEM4",0.000102759325685192
"2217","MFSD1",0.000102759325685192
"3391","GINS4",0.000103211566597009
"1525","IGLV1-47",0.000103584390733508
"1810","OCIAD2",0.00010365478587002
"3595","FAM180A",0.00010365478587002
"3560","PRPF4B",0.000103671370606488
"843","SLC35G1",0.000103902627947605
"326","NECTIN4",0.000104283135969698
"393","TMSB4XP6",0.000104299504927171
"1611","MCM3",0.000104623606979166
"986","FCER2",0.000104992084336742
"2420","HIC1",0.000105009199970866
"1528","AC000041.1",0.000105357196895135
"1218","SRR",0.000105569378314912
"1487","COPS8",0.000105937226523838
"1565","P2RY14",0.000106144469638387
"2284","UFC1",0.000106144469638387
"2590","CHIT1",0.000107491324696494
"2640","SIGLEC10",0.000107494404958732
"231","FGR",0.000107572232865587
"1165","CNOT8",0.000108028182791828
"3651","AMT",0.000108302847228855
"2009","PRR3",0.000108443355383995
"900","GOLGA8IP",0.000108614789314396
"2137","CYP26B1",0.000108633850253353
"1852","MSR1",0.000108735134935675
"2537","TRAV13-1",0.000108759067777719
"3055","FGF10",0.000108893167160642
"980","ARHGAP29",0.000108982203559657
"707","CALCOCO2",0.000109432213148208
"1345","CDK8",0.000109515925352598
"2728","RAB37",0.000110430422422085
"3124","TRUB1",0.000110459822049908
"225","FBXW4",0.000110522828252163
"392","BTNL9",0.000111505220041597
"769","RPL13A",0.000111676439145521
"1093","MTIF2",0.000112446890014089
"2229","GSDMC",0.000112750060220028
"472","ADAM8",0.0001127530980221
"1210","BASP1",0.000112786785049206
"1661","MCM8",0.000112897264981348
"235","ACVR1",0.000113306365244739
"3588","IL18",0.000113600031790294
"2025","MBNL2",0.000113635147081296
