"","Gene","padj"
"98","AC026412.2",0.000126059372034167
"19","TMEM8B",0.00019339912429852
"92","MRPL41",0.000245390803165304
"122","TNS2",0.000245390803165304
"140","ZNF358",0.000245390803165304
"160","LRFN5",0.000245390803165304
"115","IGIP",0.000283797250240076
"108","ZNF189",0.000417480047344832
"168","RBM15B",0.000469758844856468
"15","AC107956.1",0.000530307178003516
"32","SOCS7",0.00056292280110478
"63","EGLN1",0.000648758229344269
"1","TMEM204",0.000704125282474672
"82","AIFM1",0.000704125282474672
"86","PNRC1",0.000704125282474672
"91","COQ4",0.000739989403647515
"100","MRPL57",0.000739989403647515
"121","RPS13P2",0.000739989403647515
"143","BEND6",0.000739989403647515
"49","SOCS5",0.000824872836206047
"46","PHPT1",0.000862445712080324
"8","C4orf48",0.000867252853106712
"36","ZC3H10",0.000867252853106712
"57","TRAPPC5",0.000867252853106712
"71","ZNF609",0.000867252853106712
"73","ULK1",0.000867252853106712
"93","SNAPC2",0.000867252853106712
"106","MAPK7",0.000867252853106712
"159","SNRPEP4",0.000867252853106712
"31","FKBP1B",0.000872832533366081
"80","VMAC",0.000872832533366081
"146","ZNF507",0.000872832533366081
"67","YBX1P10",0.000894371752015163
"59","POU3F3",0.00110252909012001
"95","ZNF687",0.00110252909012001
"111","ZNF865",0.00112566536256659
"24","TCF7L2",0.00117475488871209
"42","RAMP2",0.00126791125886052
"162","SERF2",0.00146281128179831
"14","ST13P6",0.00156315541858421
"97","WBP1",0.00161207220877245
"61","EMC6",0.00172277726275679
"16","FAM160B2",0.0018224614714105
"48","NOXA1",0.0018224614714105
"137","SLC35A4",0.0018224614714105
"6","TCEANC2",0.00183180720497101
"105","TRIM13",0.00183180720497101
"62","RUSC2",0.00230743073361218
"83","TASOR2",0.00230743073361218
"124","KCNMB4",0.00232870840781115
"11","KCTD6",0.00255831518050344
"38","ATXN1L",0.00264267831086691
"77","MIDN",0.00264267831086691
"44","SSH3",0.00269969666591976
"156","SNRPN",0.00269969666591976
"20","EIF4EBP3",0.00282205532800013
"21","GATC",0.00282205532800013
"50","NEFL",0.00282205532800013
"147","ZNF524",0.00282205532800013
"171","C9orf16",0.00282205532800013
"66","CHCHD5",0.00308966526485593
"3","MAZ",0.00311957455702425
"64","ZNF613",0.00311957455702425
"54","RPL18AP3",0.00321112677479353
"41","ELK3",0.00328529680351952
"151","CDC42EP1",0.00328529680351952
"56","DNAJB1",0.00333401286034392
"81","MLLT6",0.00333401286034392
"103","GPAA1",0.00333401286034392
"150","PPAN-P2RY11",0.00333401286034392
"153","AHR",0.00333401286034392
"2","AC022415.1",0.00333570377104697
"74","FRAS1",0.00333570377104697
"145","ATRIP",0.00333570377104697
"110","NFIC",0.00337606559740154
"174","SETD1A",0.00337606559740154
"60","ORAI3",0.00358073586599227
"65","VAPA",0.00358073586599227
"99","TTC3P1",0.00358073586599227
"152","RPL41P2",0.00358073586599227
"157","RPL13",0.00366708890536882
"33","EMID1",0.00384531627509887
"136","GZF1",0.00384531627509887
"126","PARS2",0.0038813396081338
"109","PPA2",0.0039076900834008
"127","RPL41P1",0.00403598125198301
"29","FAM122A",0.00409763158184863
"22","ATMIN",0.00420334001448775
"139","TGFB2",0.00420334001448775
"163","SELENOH",0.00420334001448775
"175","PPIA",0.00420334001448775
"89","NFIA",0.00438742859770477
"53","WWC3",0.00441499925571006
"4","ZNF414",0.00444300232317308
"118","UBAC1",0.00444300232317308
"173","RITA1",0.00444300232317308
"26","FAM171B",0.00446021851795947
"58","AC097658.1",0.00446021851795947
"84","GAREM2",0.00446021851795947
"130","TMEM165",0.00446021851795947
"155","ZNF10",0.00446021851795947
"158","RPP38",0.00446021851795947
"167","PRR7",0.00446021851795947
"134","AC073861.1",0.00451374488136806
"69","DGKZP1",0.00460836248548072
"101","TAOK1",0.00460836248548072
"131","RPL7AP50",0.00460836248548072
"52","CHCHD1",0.00475842325994731
"70","H3P6",0.00475842325994731
"87","SP2",0.00475842325994731
"149","MBD6",0.00481228031527661
"120","TP53I13",0.00500251209984736
"27","PGBD4",0.00546017592135566
"7","ZNF207",0.00557531951569312
"165","ARHGAP23",0.00557531951569312
"104","PGLS",0.00585692791686614
"119","SMDT1",0.00585692791686614
"164","ZNF517",0.00589019336545976
"12","ZDHHC12",0.00589986396337888
"45","HIVEP1",0.00589986396337888
"85","RPL14P1",0.00589986396337888
"116","ZNRD2",0.00589986396337888
"138","EIF4HP1",0.00589986396337888
"148","MGST1",0.00623153345719884
"169","PHF12",0.00623153345719884
"94","ZNF7",0.0063547035548218
"75","APCDD1",0.00638451648711911
"113","MOCS3",0.00638451648711911
"123","DYRK4",0.00638451648711911
"141","ZNF770",0.00638451648711911
"170","FABP5P7",0.00638451648711911
"68","ALKBH7",0.0063908729413226
"88","GPR21",0.0063908729413226
"34","C5orf24",0.0064280003685673
"47","CNOT10",0.0064280003685673
"79","MAGEL2",0.00677392801622199
"154","ZNF639",0.00677794072813499
"107","PTN",0.00688501340487712
"102","B3GNT5",0.00690130288525312
"125","ATP5F1D",0.00690130288525312
"23","KIAA1522",0.006991871368932
"40","SSPN",0.006991871368932
"144","TSSC4",0.006991871368932
"5","LONRF2",0.00701968525094808
"25","PSMG2",0.00701968525094808
"96","GTF3C4",0.00701968525094808
"78","ADAT3",0.00745172682503677
"114","WBP1L",0.00749418417583154
"43","MRAS",0.00754734876258823
"28","EIF4BP6",0.00759507835008912
"35","ZNF830",0.00759507835008912
"166","ZDHHC20P4",0.00759982839234706
"161","RPS3AP5",0.00766304353382912
"10","LEPROT",0.00771881859748288
"9","MED30",0.00789229233570102
"128","ZNF518A",0.00817694087153544
"142","ZNF350",0.00817694087153544
"112","NKAIN3",0.00825543117128071
"133","PCDH9",0.00825543117128071
"18","ADNP2",0.00834098229384297
"172","AC115223.1",0.00872590469235108
"176","PCIF1",0.00873060907502028
"177","SRRM3",0.00882844640582559
"90","DHX30",0.00895083253366655
"132","RPS2P7",0.00895083253366655
"13","CPTP",0.00896739938073467
"129","NEDD8-MDP1",0.00928798873411055
"135","LYPLA2",0.00928798873411055
"72","RTL10",0.00938156897329675
"17","MIS12",0.00946487010845568
"30","ITPRIPL2",0.00946487010845568
"51","ABHD10",0.00946487010845568
"39","C8orf48",0.00966306350807836
"55","H4C3",0.00966306350807836
"37","WIPF2",0.00972875035295431
"117","EIF4B",0.00972875035295431
"76","CFAP36",0.00973744300071135
