Run_ID,Community
Choueiri_CCR_2016-p014-ar-325,0
Choueiri_CCR_2016-p018-ar-318,0
Choueiri_CCR_2016-p021-ar-301,0
Choueiri_CCR_2016-p027-ar-866,0
Choueiri_CCR_2016-p041-ar-306,0
Choueiri_CCR_2016-p050-ar-551,0
Choueiri_CCR_2016-p073-ar-324,0
Choueiri_CCR_2016-p090-ar-331,0
Choueiri_CCR_2016-p093-ar-345,0
Choueiri_CCR_2016-p096-ar-333,0
Choueiri_CCR_2016-p099-ar-320,0
Choueiri_CCR_2016-p102-ar-841,0
Choueiri_CCR_2016-p105-ar-265,0
Choueiri_CCR_2016-p106-ar-300,0
Choueiri_CCR_2016-p115-ar-329,0
Choueiri_CCR_2016-p117-ar-327,0
Miao_Science_2018-p0005-ar-201,1
Miao_Science_2018-p0011-ar-202,1
Miao_Science_2018-p0015-ar-194,1
Miao_Science_2018-p0018-ar-195,1
Miao_Science_2018-p0019-ar-196,1
Miao_Science_2018-p0020-ar-193,1
Miao_Science_2018-p0021-ar-190,1
Miao_Science_2018-p0022-ar-198,1
Miao_Science_2018-p0024-ar-192,1
Miao_Science_2018-p0025-ar-205,1
Miao_Science_2018-p0026-ar-203,1
