"","Gene","padj"
"1382","ATF7",0.000100101395723895
"2076","NLRP3P1",0.000100218626150933
"785","GFRA1",0.000100279346380364
"282","BBS1",0.000100334638308378
"2809","RPL13",0.000101309534852352
"2972","TRIM58",0.000101781451627171
"2168","UBE2E4P",0.000101960137897296
"2083","ZNF771",0.000102054782155247
"277","AP1S1",0.00010312529128512
"1947","TMEM102",0.000103148419193306
"2923","EIF2S2",0.000103442938006786
"202","NAPRT",0.000103583683588261
"2019","DAG1",0.000103803893472834
"3130","SLIT2",0.000103816687014744
"1388","PES1",0.00010411078963035
"57","SNX19P3",0.000104296941616308
"1814","MRPL16",0.000104296941616308
"2627","PEX3",0.000104511831537575
"2199","PCBD2",0.000104755019182363
"1322","SPOUT1",0.000105012724850698
"2237","CTAGE10P",0.000105063479704277
"956","ZNF212",0.000105275627899634
"1020","TMEM40",0.000105275627899634
"2461","USP28",0.000105460573930369
"163","ZNF557",0.000105582900200472
"896","RIDA",0.000106020973353507
"1263","CLHC1",0.000106131355077074
"2371","PDZD8",0.000106131355077074
"2428","GZF1",0.000107106955642151
"705","FAM104B",0.00010738795736123
"690","TMX3",0.000107423141794078
"2675","HS3ST3A1",0.000107811053894241
"2096","GPR82",0.000108346176396765
"1899","ANP32B",0.000108408400424166
"1628","GPR27",0.000108462392459804
"1738","TOMM40L",0.000108833198044824
"784","AC006971.1",0.000109045062746342
"1380","CTAGE11P",0.000109191019685764
"1731","DSCAML1",0.000109352673816285
"1287","AC005840.3",0.000110847644458116
"248","GALNT10",0.0001109923788641
"3086","NUTM2A",0.0001109923788641
"1795","LARS1",0.000111004759713974
"2449","LTK",0.000111305022480623
"2198","KLHL5",0.00011228853225465
"1384","RCN2",0.000112323385763993
"697","NOS1AP",0.000112691503923101
"2411","PCDHGA12",0.000112865019332229
"1581","C19orf12",0.000113010283515979
"2549","OR2A9P",0.00011324135693163
"2429","FOXP1",0.000113774102835242
"1075","NENF",0.000113856024575746
"564","FCER1G",0.000114191684708954
"1528","PRELID1P4",0.000114234740650193
"1070","CEP120",0.000114412246251558
"1069","RBMXL1",0.000114772551632937
"1945","SLC39A7",0.000115337022886599
"646","FITM1",0.000115478117649291
"2946","DLSTP1",0.000115478117649291
"182","CHAC2",0.000115496712485872
"665","ARL2BP",0.000115765162610215
"1605","RO60",0.000116055629694999
"1021","PDIA6",0.00011626640735122
"1778","UGT2B15",0.000117057353920611
"1080","RWDD4P2",0.000117101271957541
"2357","DEGS2",0.000117304273009833
"1692","BX322639.1",0.000118448653849598
"2869","HS3ST2",0.000118622850333714
"2643","DDRGK1",0.000118790594451874
"398","DYNLL1",0.000118851602488006
"2287","ANKRD62",0.000119012161891618
"2671","PTPN22",0.000119012161891618
"484","ZNF418",0.000119149789199083
"540","ZFAND4",0.00011935956013311
"1759","DHCR24",0.000119361102619069
"626","UBN1",0.000119629946657013
"2656","FCHO2",0.000120137440962759
"1305","SLC30A7",0.000120153213320835
"2810","DIO1",0.000120303568590962
"2115","DNASE1L3",0.000120653199888365
"1637","C1orf52",0.0001207137355386
"552","AC135983.5",0.00012094161266897
"12","H3C8",0.000121107516942381
"2828","COL24A1",0.000121411023835377
"1410","ACAN",0.000121471673054557
"1547","RPS6KA5",0.000121495839996539
"2606","EFNB3",0.000121525192815091
"582","MAX",0.000121806722554087
"93","NAPA",0.0001219021223673
"1498","TRAF3",0.000122977454609429
"675","TSTD2",0.000123448599917671
"3006","PIGB",0.000123603611403046
"213","KRT8P39",0.000123640239380892
"1051","RPL26",0.000123686591369268
"2438","NPY4R",0.000123686591369268
"1648","AP4S1",0.00012374555964326
"1361","TRPC1",0.000124968371099324
"2640","ARHGAP28",0.000125152957899239
"840","VLDLR",0.00012528003150259
"1340","RBM3",0.000125308482229146
"290","IPO5",0.000126031675857808
"501","HNRNPA3P10",0.000126060907634801
"2380","ACOT11",0.000126217877398105
"2044","POLN",0.000126634698698677
"2487","CKS2",0.000126728994559215
"1152","GEMIN8P4",0.000127138507816962
"1712","MPP2",0.000127894423219605
"1195","CHST15",0.000128106455244486
"1880","SLC52A2",0.000128115562162082
"2388","TNPO1",0.000128525035106341
"1866","AL031284.1",0.000128756360452084
"1907","PIEZO1",0.000128988192465514
"81","KCTD18",0.00012945438989121
