"","Gene","padj"
"300","WDR70",0.000184263116366348
"1870","NMB",0.000184830319922581
"405","AC133555.4",0.000185322343700397
"1846","TXNIP",0.000186378080033024
"2128","OSBPL9",0.000186538018204644
"1664","ITGB6",0.00018673352870436
"1310","MBOAT2",0.000187807421672438
"1981","EEF1A1P6",0.000187807421672438
"1462","BCAT1",0.000187945754658965
"1398","SLC12A7",0.000188058943740085
"605","PLEKHG7",0.000188601674572163
"1230","CEMIP",0.000190347965416575
"1818","IGHV3-49",0.0001907266047324
"1722","EVI2B",0.000190744459124919
"21","CBLN3",0.000191337380437369
"642","MEFV",0.000193362583980378
"876","NCEH1",0.000193362583980378
"967","TRBV7-6",0.000193362583980378
"299","DCN",0.00019477090337504
"1451","TNFRSF11A",0.000195354856908648
"1118","COX6B1",0.000197264119356418
"1727","RPS27AP5",0.00019897738079061
"1916","CDK11A",0.000201148461590688
"1569","UTP4",0.000201467711817045
"1125","AL360181.3",0.000201999743702936
"257","VDAC2",0.000203469775168363
"1184","ARV1",0.000203469775168363
"2022","TPM4",0.000203791394169904
"1336","INSRR",0.000204043091293883
"1206","CPEB3",0.000206466192942544
"1091","FKBP5",0.000206596603196127
"90","PLA2R1",0.000206912748779681
"137","FCGBP",0.000206912748779681
"1753","TMPRSS3",0.000206912748779681
"1295","MMP28",0.000207498612221857
"991","FCGRT",0.00020760626814455
"1599","ZNF366",0.000209087023331391
"1158","HAUS1",0.00020917750822398
"958","AGAP9",0.000210827651153543
"571","AC098591.3",0.000211740061843126
"1363","NT5E",0.000212320609393183
"193","CD226",0.000213123898904105
"438","GADD45G",0.000213123898904105
"601","HCFC2",0.000214897518317624
"444","NLRP11",0.00021583962733977
"875","PPBP",0.000215946932336143
"1366","SMG7",0.000216035104373544
"974","IFI44",0.000216105228326696
"1582","CSF3R",0.000216659879249546
"898","TBX1",0.000217290195863466
"2102","AL669918.1",0.000217290195863466
"888","CENATAC",0.000217613249148215
"1617","HSPB8",0.000219695197852711
"1227","C15orf48",0.000220049712138189
"420","TSN",0.000220548078365188
"1375","PMCH",0.000223164125302937
"365","RPS15AP38",0.000223234046158736
"893","NKAPL",0.000224305231005562
"1638","COL12A1",0.000224516396974609
"2032","TATDN1",0.000224516396974609
"615","SMAP2",0.000225454152839626
"1086","SLC38A4",0.000225454152839626
"424","GCH1",0.000226074591142539
"573","RPL28",0.000227579429136556
"75","GPR180",0.000228539626243942
"1207","A2ML1",0.000228539626243942
"1283","LYPLA1P3",0.000229046316284177
"880","TCF4",0.000229536832064293
"966","PTCRA",0.000231228069148955
"1121","C12orf42",0.000231509889796463
"1202","ADSS2",0.000231509889796463
"1502","DSEL",0.000233313627416925
"1218","HMGB1P3",0.000234342487031781
"56","PIPOX",0.000235734858500781
"1378","UQCR10",0.000236005815798402
"781","IFIT5",0.000237535267890085
"2142","NDC1",0.00023894207879765
"286","PAFAH1B3",0.000239714122428256
"367","NAXE",0.000240179465008114
"102","TRAV8-4",0.000240673613765511
"1796","TRAV12-1",0.000240673613765511
"1485","VSIG2",0.000241463722851612
"1423","ARID5A",0.000242084154714664
"1033","VDAC2P5",0.00024335989580261
"1358","CWF19L2",0.000243781265729946
"708","RPL26",0.000245159487235277
"1076","RO60",0.000246527568423512
"1461","OLFML1",0.00024703391369573
"1974","MACF1",0.000248934628124083
"691","SIGLEC17P",0.000250023025034879
"1055","ESD",0.000250263578184978
"1152","COL3A1",0.000250909440600187
"813","HACD1",0.000253075147225003
"1123","RHBDF2",0.000253997447275427
