"","Gene","padj"
"47","SCAND1",0
"62","H1-4",0
"240","CRK",0
"564","ALMS1",0
"601","AC009053.1",0
"716","SMG1P3",0
"899","BRD3OS",0
"919","AC018638.4",0
"982","PARGP1",0
"1125","NBDY",0
"1148","ZFP91-CNTF",0
"1188","FAM136A",0
"1238","MRFAP1",0
"1329","FRAT2",0
"1647","CENPX",0
"1669","AC090114.3",0
"1673","ZNF460",0
"1726","OPA3",0
"1869","ZNF462",0
"1928","H2AC20",0
"2192","ZACN",0
"2196","MT-ND6",0
"2216","MTLN",0
"2225","PIGBOS1",0
"2423","TMEM203",0
"2556","AC124068.1",0
"2076","RPP40",0.000100672000034205
"1722","RPS7P14",0.000101370208330409
"2175","CCL7",0.000101381178218947
"983","AMY1C",0.00010178748253731
"2154","SLC30A4",0.000101845706097282
"2295","ZNF683",0.000101845706097282
"575","PPP1R37",0.00010195453370696
"975","EIF4BP5",0.00010216711495818
"1384","ISM2",0.000102888271152282
"2190","OXCT2",0.0001028974886601
"1405","LHCGR",0.000103164427371671
"1342","LDOC1",0.000103250830650197
"2243","CASKIN1",0.000103581394392758
"1103","KYNU",0.00010359869023615
"943","RAB40A",0.000103727484483988
"282","SOX30",0.000103763212929466
"1284","ZBTB2",0.000104082697835581
"239","ZNF324",0.000105284894556353
"622","GDNF",0.000105313296026585
"1163","CYTH2",0.000105333383793927
"1570","GLDC",0.000105397931373129
"128","AC091042.1",0.000105428932443248
"1310","KCNIP3",0.000105495506767904
"287","DHX15",0.000105680744286513
"226","MARS2",0.000106006112976972
"1622","UCP2",0.000106128465969732
"2162","NDUFB1",0.000106747187743588
"933","RAPSN",0.000107403902944076
"1939","NR2C2AP",0.000107973766790235
"221","AC142391.1",0.00010804685676897
"1320","CALM2P3",0.000108391415801619
"2087","SAA4",0.000108417885686639
"2247","MEIOC",0.00010894235583539
"2024","GPR182",0.000108963726965885
"811","TNS1",0.000109183325751901
"182","CRYBB2P1",0.000109288618610353
"737","SSRP1",0.000109560956074916
"345","SLC22A11",0.000109589404268158
"140","ASB9",0.000110041935564148
"1402","RPL15P3",0.000110067111665804
"78","CCDC78",0.000110321398776667
"1550","SSPOP",0.000110423398721503
"1992","KIF1C",0.000110902355125209
"2349","NBEAP3",0.00011092745287275
"2365","GNL3",0.000111152422927313
"1877","CD22",0.000111175511531033
"1969","CXorf49B",0.000111827607613995
"469","RPL10P1",0.000111861378574098
"821","CPS1",0.000111890555453456
"2117","NPAS2",0.000111926026283087
"31","AC113367.1",0.000112071602497949
"1207","STXBP6",0.000112320193807258
"1398","AL807752.6",0.00011248549990379
"1838","GRIK4",0.0001126800043224
"466","LSM8",0.00011281257141288
"1601","ATP1B3P1",0.000112828904641432
"565","ADRB1",0.000113584782476492
"806","MRPL21",0.000113637586861899
"2351","PTPRVP",0.000113681950309014
"2195","ENGASE",0.000114249436519074
"843","ZNF385B",0.000114580357703679
"1646","H2AB1",0.000114580357703679
"2481","F2R",0.000114580357703679
"407","RPL13AP7",0.000115207790163282
"732","AL592293.1",0.00011570131437251
"1689","RASGEF1B",0.000116417518879982
"2265","RAD21",0.00011650899274625
"1241","PCDH17",0.000117011539345249
"1846","AC008481.3",0.000117013149806297
"681","EIF2S2P4",0.00011735745058618
"599","RPL22L1",0.000117520259861664
"2098","TSSK4",0.000117552648552656
"180","APOBEC3D",0.000117613723339905
"2323","CCT6B",0.000118147237834267
"1247","BCAS2",0.000118378845360475
"768","MT1XP1",0.000119115504037377
"1650","RPL23AP65",0.000119185089909945
"139","SLC25A14",0.000119477340771514
"296","ATOX1",0.000119505095485333
"2084","GPSM2",0.000119824518298278
