"","Gene","padj"
"2221","NT5C1A",0.000100050852584219
"67","MEPCE",0.000100277492981448
"87","SEC24AP1",0.000100302333361657
"2510","IFNGR1",0.000100974662121982
"1781","SLC25A19",0.000101328219716737
"1326","PEX16",0.000101466402904427
"2818","C17orf78",0.00010180257234313
"2997","COL20A1",0.000101884915435158
"3164","IFNWP19",0.00010221942435348
"467","INTS4",0.00010234184001716
"978","CBLC",0.000102342651829803
"2726","EVI2B",0.000102469437098618
"974","MMRN2",0.000102574319640086
"2531","EXOSC2",0.00010267351477417
"1009","RAB6C",0.000102674894566246
"1315","HORMAD1",0.000102775499281146
"1947","FYTTD1",0.00010282715633058
"1224","TMEM100",0.000103080205794462
"386","FAM171A2",0.000103322693641669
"2648","BRAP",0.000103589684227273
"1195","RNF168",0.000103954399632359
"1275","MBOAT4",0.000103954399632359
"1935","TRAV12-2",0.000103954399632359
"195","TP53INP1",0.00010440829523588
"2900","SLC25A24P1",0.00010461994735266
"3141","PACSIN2",0.000104826766016615
"3030","ATP4B",0.000104832933946327
"1516","TPTE2P1",0.000105001197993436
"2244","ELAC1",0.000105143667499325
"2975","NR1H4",0.000105214721010661
"1207","ETV2",0.000105532485049511
"131","FST",0.000105593408104555
"1790","SCG3",0.000105756252416771
"1095","PHTF1",0.000105901628184443
"171","MDM1",0.000106194359973082
"362","OR1B1",0.000106277031657441
"1241","AC092597.1",0.000106336536021763
"2371","FBLN2",0.000106605989595815
"1887","ALKBH6",0.000106993942096624
"1103","DIPK2B",0.000107043637626905
"2504","ELOVL4",0.000107073460893825
"306","ALDOC",0.000107296189294989
"6","CA14",0.000107540143459987
"2694","CDK11B",0.000107662455932158
"198","PPP1R14BP3",0.000107918576314243
"1743","NAIPP1",0.000107973934103205
"1463","RAB21",0.000108046785908576
"1130","GPATCH4",0.000108358259355577
"3227","ERBB2",0.000108404832636473
"2461","DNAJC18",0.000108491634699105
"1146","HMGXB3",0.000108494656615659
"291","TRPM6",0.000108575644113487
"1473","DCUN1D5",0.000108737405459891
"1644","HSP90B3P",0.000108737405459891
"2103","TFAP2C",0.000108737405459891
"2982","SAR1AP3",0.000108737405459891
"3170","USP22",0.000108913505356765
"13","DMAC2L",0.000108969313120722
"2746","EPRS1",0.00010907076001872
"909","PPID",0.000109210627596491
"1919","ZFR",0.000109210627596491
"3117","IL18",0.000109242832805814
"2018","AQP7P2",0.000109778544722358
"816","FDFT1",0.00011027102674048
"2183","TAT",0.000110363577016427
"179","RIMKLBP2",0.000110372044515579
"1618","STON1",0.000110372044515579
"3178","ALX4",0.00011044201763507
"2594","ODF2",0.000110483829961129
"560","HSD17B1",0.000110507924204428
"2237","AL353795.1",0.000110603116129767
"3216","PARP4",0.000110616187966764
"191","PARP3",0.000110734487515657
"2390","ENPP3",0.00011102662238889
"975","ABCG8",0.000111036561402659
"874","RBM17",0.000111119106300725
"2119","EEF1AKNMT",0.000111393732294362
"744","MRPL37P1",0.000111484099160877
"887","AC113385.3",0.000111510938084772
"2626","GABARAPL1",0.000111532183225815
"3074","CCDC81",0.000111570242722871
"2252","ZNRD2",0.000111608739291138
"725","NME1-NME2",0.000111914115172134
"378","PTGER4",0.000111946875712384
"3093","AC013470.2",0.000112041651457485
"3190","CACUL1",0.000112041651457485
"2348","RPS26P6",0.000112485065924877
"922","RPS4XP2",0.000112873897912708
"2903","ZNF654",0.000112929203032894
"923","ATRAID",0.000113152500305097
"2431","AC100827.2",0.000113241873490035
"925","TES",0.000113449499373619
"815","PSMC3IP",0.000113762799334871
"1532","AC026954.2",0.000113780093547534
"97","SEMA3A",0.000113899725572939
"493","RPSAP46",0.000114024210909377
"2039","CTSK",0.000114224221292561
"1393","IGLV3-12",0.000114474970761074
"2420","COL27A1",0.000114629263018692
"1534","RAB6A",0.000114744738970714
"4","PHF20",0.000115197455082086
"8","CEP70",0.000115242899376701
"12","FUT3",0.000115310614675374
"1403","CDK17",0.000115466064786405
"1588","SSBL3P1",0.000115533996150857
"943","PDCD7",0.000115897671956166
"48","CYP19A1",0.000116123031484824
"323","AC087203.2",0.000116323972826646
"54","PPIAP76",0.000116773067948898
"3115","AXL",0.000116839705467762
"1087","ASF1A",0.000117034038316016
"2181","BICDL2",0.000117615289215753
"517","CYTH1",0.000117669507781017
"3154","BORCS5",0.000118021352120629
"589","BORCS8-MEF2B",0.000118106004727618
"2667","A2M",0.000118405239333463
"1674","CBARP",0.000118526340933407
"1670","EIF5A2",0.000118956572857757
"831","AC006116.1",0.000119356662261408
"2702","RAB2B",0.000119653828003235
"130","METTL7A",0.000120657913945081
"1232","SIX4",0.000120981729384526
