"","Gene","padj"
"1701","IGKC",0.000100668047647494
"1858","NEB",0.0001018660329797
"627","ITCH",0.000102031144360786
"1839","IGHV3-53",0.000102106734270679
"1495","RHEX",0.000103030609781738
"1034","DHX30",0.000103499347877539
"832","KRT5",0.000103668985512664
"1360","JAML",0.000107262057156759
"865","MARCKSL1",0.000107301264314259
"1377","IGLV3-10",0.000107301264314259
"357","SLC12A6",0.000107708080056107
"1479","GPATCH8",0.000107708080056107
"1004","EBF3",0.000107985814871904
"317","DDX49",0.000108632915468643
"497","IGHV1-46",0.000108632915468643
"903","PTPN2",0.000108632915468643
"1219","PLA2G2A",0.000108632915468643
"133","CYP4F12",0.00010913818863914
"1615","SPATA2L",0.00011060247905459
"1401","CKM",0.00011197035002822
"413","MED10",0.000114486300905292
"1294","HELZ",0.000114486300905292
"1561","PAX5",0.000114486300905292
"1743","ZNF205",0.000114486300905292
"302","PAPSS1",0.000115775698646268
"498","ZNF66",0.000116849003838644
"750","IGLV1-47",0.000117359945367016
"560","SLC14A1",0.000118410270067806
"648","TAS2R43",0.000118410270067806
"1013","F8",0.000118410270067806
"1783","ZNF579",0.000118410270067806
"1418","ZNF92",0.000118663829617579
"807","RNF170",0.000118822636225044
"381","SBK1",0.000119483227532871
"774","P2RY14",0.000119483227532871
"96","IGSF10",0.000121031898686093
"1412","TGM1",0.000121031898686093
"296","IGLV4-69",0.000121892560955421
"408","MPP7",0.000122136002624025
"593","GTF2H4",0.000122368586214281
"630","IGKV3-11",0.000122368586214281
"1056","ZDHHC6",0.000122368586214281
"1835","RPL10P9",0.000122863926747518
"1365","NUGGC",0.000123075453972166
"230","FAM171A2",0.000123994294239113
"1058","POFUT1",0.000123994294239113
"1413","IGHV3-66",0.000127023614673771
"722","GPC5",0.000128428770937783
"1826","IGHV3-7",0.000132826296000249
"1627","NBPF14",0.000135300557803264
"442","TBL3",0.000136218321782421
"908","NR3C1",0.000136218321782421
"1162","ERVFRD-3",0.000136218321782421
"1185","AK2",0.000136218321782421
"687","AC005154.2",0.000136554465957128
"1463","ZBTB8OS",0.000136554465957128
"221","HACD4",0.000137084805130696
"646","PKN1",0.000137084805130696
"789","PLCG1",0.000137084805130696
"1217","TCF3",0.000137084805130696
"1316","ERGIC2",0.000137084805130696
"1378","ZNF44",0.000137084805130696
"1703","CNTN6",0.000137084805130696
"138","POLD1",0.000140089523201921
"927","TRMO",0.000141157514701229
"57","CPT1C",0.000141834853756764
"257","IGKV2-30",0.000141834853756764
"551","TMEM121",0.000141834853756764
"1199","HAUS5",0.000141834853756764
"320","C11orf95",0.000145467657807244
"886","CCL19",0.000145745784367664
"272","IGHV4-34",0.000147777497358283
"637","ITSN2",0.00014952206620912
"847","IGHV3-64",0.00014952206620912
"1108","ZNF429",0.00014952206620912
"1538","IL18R1",0.000151121837567063
"169","THAP5",0.000151765000066868
"1821","SFT2D2",0.000151765000066868
"672","TMSB4XP8",0.000153227391205516
"1339","MCUB",0.000153227391205516
"97","TMTC1",0.000153565045294397
"200","NBN",0.000153565045294397
"617","PPIAP72",0.000153565045294397
"49","ISYNA1",0.000154080875018467
"269","EIF2S3",0.00015566821548761
"436","COL6A5",0.000156183796407271
"1239","NFKBIL1",0.000156183796407271
"14","CD19",0.000158873494336793
"240","PTMS",0.000166877404351702
"1311","ZNF808",0.000167374749710761
"1211","DPM3",0.000168243455259405
"658","IGHV3-74",0.000170033511244686
"1123","VPS13A",0.000170033511244686
"1320","EFNA5",0.000170033511244686
"763","PTGDR",0.000173155067992642
"1110","DES",0.000173155067992642
"1819","FCER1A",0.000173155067992642
"487","ZNF761",0.000177533796420484
"1507","ZNF680",0.000181717804399552
"83","TRGC2",0.000183135194868417
"412","ZNF658B",0.000183738031367832
"1169","EMILIN1",0.000185391846469811
"1494","GOLGA6L5P",0.000185412863002637
"354","HIGD1AP16",0.000186725275730307
"1756","RBM15B",0.000191635564350618
"1329","KLHL5",0.000192577670668157
"1608","CBWD2",0.000193335742715674
"15","ARRDC5",0.000194750227009072
"545","FYB1",0.000194771317468698
"1717","AHNAK2",0.000195360242363157
"217","ANKRD29",0.000195530234765533
"1761","KRAS",0.000195620016293494
"1512","FGF10",0.000195685694145668
"850","ZNF141",0.000195711626791104
"1114","IGHV3-72",0.000196711665741093
"1513","KIAA1143",0.000196711665741093
"1735","ATP8B1",0.000196711665741093
"132","KRT16",0.000200963600234933
"280","SELPLG",0.000200963600234933
"88","ZNF254",0.000204106160716187
"1738","MYOC",0.000204760326820778
"513","FAM234A",0.00020526337475708
"826","C2CD5",0.000205975069714648
"609","ZNF493",0.000207946942446819
"134","SMO",0.000209737972628635
"182","CNOT6L",0.000209737972628635
"625","DYM",0.000209737972628635
"1354","SMAD2",0.000209737972628635
"362","MAX",0.000212073001175309
"1224","CDC34",0.000212771136248845
"216","IFRD2",0.000213223123014917
"1203","IGKV1-12",0.000214267656200045
"1148","NELFA",0.000215578100694097
"1749","DPH2",0.000215578100694097
"168","HLA-DOB",0.000215634295858178
"505","CSNK1G2",0.000215634295858178
"546","TSHR",0.000216760195436498
"696","RGS13",0.000216760195436498
"1532","ZNF253",0.000218490419486459
"18","IGKV1D-16",0.000221620097087367
"1008","LSM12",0.000221620097087367
"365","STK10",0.00022470075336425
"955","TLK1",0.000225281930216757
"156","LMNB1",0.000225889240465651
"463","DPM1",0.000225889240465651
"1158","HYOU1",0.000225889240465651
"1715","CCDC69",0.000225889240465651
"1854","IGKV2D-29",0.000225889240465651
"607","FLT3",0.000228560250543151
"980","IGHV5-51",0.00023175870542375
"278","MPRIP",0.000233256922954251
"1327","HNRNPA1P22",0.000233766676337842
"574","BAIAP3",0.000233928137715237
"1380","TAS2R31",0.000234895519836996
"536","GRAMD1A",0.000239626238684789
"589","MFSD8",0.000242722318708827
"1164","RING1",0.000242749790683828
"229","ABCC9",0.000245791646161516
"409","DHX29",0.000245791646161516
"434","CCDC106",0.000245791646161516
"529","WNK1",0.000245791646161516
"778","PKP1",0.000245791646161516
"1457","SEC22B2P",0.000246127931733795
"264","UBXN7",0.000247590206369784
"176","CTU2",0.000252064682980428
"1610","IER2",0.000252240773147869
"496","GNPTAB",0.00025901231316645
"1168","DOCK11P1",0.000259360071640028
"121","DSP",0.000261823299357048
"678","MUC3A",0.000263946353581266
"1128","JAK2",0.000263946353581266
"1225","DHX16",0.000264763985942675
"1255","AL136982.4",0.000264763985942675
"1139","SPNS1",0.000267673482233197
"201","BTAF1",0.000268377730268617
"1489","EEF1A1P13",0.000269142640145525
"1639","U2AF2",0.000269142640145525
"175","ANKRD26",0.000274044505545364
"1150","LRRC46",0.000275705087094115
"40","CYP19A1",0.000276088005795461
"226","ZSCAN9",0.000276088005795461
"636","AC093663.2",0.000276088005795461
"994","KIFC1",0.000276088005795461
"1277","DACT3",0.000276088005795461
"1524","IGLC2",0.000276088005795461
"1537","LRRC70",0.000276088005795461
"1563","FAM126B",0.000276088005795461
"1719","AGAP6",0.000276088005795461
"621","ANKRD36C",0.00027761976444954
"608","SMG1P6",0.000280464866125081
"1707","GTPBP3",0.000281275306908789
"1754","SHOC2",0.000285001633982293
"1167","SF3A2",0.000285802021582507
"197","EVPL",0.00028587197407257
"402","PIAS1",0.000286916880470606
"10","TGM5",0.00028717494812943
"602","ABCB8",0.000287226940304987
"1189","KERA",0.000287226940304987
"1200","DCUN1D1",0.000287226940304987
"1264","ALDH16A1",0.000287226940304987
"739","BOLA3",0.000289603695437153
"949","GOLGA5P1",0.000289603695437153
"521","MED1",0.000293432184337205
"1752","ZNF714",0.000293432184337205
"660","PTBP1",0.000296192015069426
"1834","PHF14",0.000296697424217517
"583","ANAPC10",0.000296905416668398
"1284","CHIT1",0.000296905416668398
"514","TYROBP",0.000299742940426091
"284","OSGIN2",0.000299818954886078
"1467","IRF6",0.000301887796078627
"336","GAPT",0.000304386957405132
"595","UNC45A",0.000304386957405132
"813","MSL2",0.000304386957405132
"1801","CACUL1",0.000304386957405132
"1733","GNA13",0.000307103694589763
"534","MOCS2",0.000314426974737387
"1019","AIDA",0.000314426974737387
"1585","PTPN22",0.000314426974737387
"48","ZNF273",0.000315319657025235
"406","LAMB4",0.000315319657025235
"1828","LRRC2",0.000315319657025235
"1109","AC073508.2",0.000322573415296535
"812","CD81",0.000324785739082666
"20","UBR1",0.000325240516729424
"575","NBPF10",0.000325240516729424
"1827","TRIP11",0.000325240516729424
"896","NT5C3A",0.000325870944690507
"1161","DENND2D",0.000325900876452354
"953","NPIPA8",0.000327385533430711
"367","COX15",0.000333180449607741
"1493","GCSAM",0.000334068363119221
"450","ABCF1",0.000344660201661951
"1575","SLC6A10P",0.000344660201661951
"313","JCHAIN",0.000344787914539088
"392","CTXN1",0.000344787914539088
"1274","RGPD3",0.000344787914539088
"1759","KRT16P6",0.000344787914539088
"1371","MAP1S",0.000345146260573261
"943","DBT",0.000345862176981301
"532","CD1E",0.000345874442891678
