"","Gene","padj"
"8","ITIH1",0.000100663934724608
"853","HSP90AB1",0.000100663934724608
"1502","SPATA20P1",0.000100663934724608
"536","HIGD1AP14",0.000100860634471559
"868","PTPN6",0.000102384822665516
"978","LTA",0.000104332101825517
"1034","KLRG1",0.000104334924742144
"1097","INPP5D",0.000104334924742144
"1564","NME1",0.000105225157577192
"314","TNFRSF10A",0.000105956833891039
"534","DLG2",0.000105956833891039
"939","DLEC1",0.000105956833891039
"1084","ACRBP",0.000105956833891039
"884","AIF1",0.000107383038924171
"1047","CLEC17A",0.000107383038924171
"1088","MS4A7",0.000108884610077909
"1350","CD36",0.000108884610077909
"242","CYTH1",0.000109115838818861
"1171","THBS1",0.000109115838818861
"1572","AC134669.1",0.000109156907270299
"618","EFEMP1",0.000109763152756439
"1130","AL356585.4",0.000111016363076168
"1126","CEACAM4",0.000111808952755288
"169","DNAH1",0.00011524239635937
"887","IRF8",0.000116298017464275
"1147","NAV2",0.000119912193097361
"854","PIGU",0.000120162458481759
"312","TRAV21",0.000120186721647768
"1301","FAM177B",0.000120243993483015
"1246","IGHG2",0.000121718997458653
"1464","SIX2",0.000122481164377848
"1444","NLRC3",0.000123233139800127
"801","MS4A6A",0.000123767364271512
"1578","DGKE",0.000123878604022197
"325","SLC25A23",0.000124621987213118
"1251","RAB37",0.000124621987213118
"1107","XPO5",0.000124751112943263
"1462","TRABD2A",0.000125702379675218
"92","FCHO1",0.000125876846364354
"1048","SLC8A1",0.000125876846364354
"1352","PSMG1",0.000133026420440414
"1001","ADAMTS20",0.000135031238095444
"882","TRPM2",0.000135755092682513
"1489","SLC8B1",0.000135755092682513
"1106","EVL",0.000136626963795865
"527","MS4A4A",0.000137264563602859
"664","UNC13D",0.000137264563602859
"817","ZC3H12A",0.000139208006477932
"736","PDGFRL",0.000139242882111991
"1418","VAMP1",0.000139242882111991
"601","IKZF1",0.000139634172254434
"1404","LY75-CD302",0.000139634172254434
"69","SGMS1",0.000141327987510466
"788","ARHGAP25",0.000141327987510466
"1002","CSNK2B",0.000141327987510466
"1367","GPR34",0.000142229386515823
"1718","EGFR",0.000143414042035542
"906","VGLL3",0.000143894340850218
"68","JDP2",0.00014584471912863
"571","GSTM5",0.00014584471912863
"580","IGHV3-74",0.000147280105440169
"1430","TXLNB",0.000147280105440169
"1327","JAM2",0.000147361289700826
"1297","TPM1",0.000147924288168928
"1683","MAP3K14",0.000147924288168928
"301","AL157935.2",0.000148187848293313
"562","FOLR2",0.000148187848293313
"737","CACNA2D3",0.000148187848293313
"1697","IGHV3-53",0.000149251191128002
"1191","ELOVL6",0.000151117808536027
"460","SLC35B2",0.000151800665283644
"270","CALB2",0.000152886309143658
"1505","COL6A3",0.000152886309143658
"577","NEDD4L",0.000154544896376751
"1652","PFKFB1",0.000154544896376751
"1586","SNX20",0.000154828470921829
"593","NAPSB",0.000155113627363073
"1317","TENM1",0.000155856539143227
"2","SPNS3",0.000156132666560002
"407","CP",0.000156132666560002
"1202","HCN2",0.000156132666560002
"1676","SLC7A1",0.000158010374128241
"166","KCNJ15",0.000158053444847263
"1725","TTC16",0.000158053444847263
"269","GAPT",0.000161644587324928
"565","AFF1",0.000162766360391085
"1467","SIRPB2",0.000163155232428397
"298","PPARG",0.000163276006094014
"284","SLC12A6",0.000163494237969257
"1081","STXBP5L",0.000163494237969257
"1221","URB1",0.000163494237969257
"699","IL21R",0.0001636864238711
"140","RDH10",0.000164827704269357
"120","CHI3L1",0.000165501891721771
"1014","CD40LG",0.000165501891721771
"875","SSC5D",0.000166130027666866
"535","ZNF641",0.000171874370191313
"1092","CDH3",0.000171874370191313
"388","PODN",0.000172241376666437
"812","OLFML2B",0.000174849624203635
"1653","RASSF5",0.000174849624203635
"11","ENDOD1",0.000177855636708612
"1046","P2RY13",0.000177855636708612
"1258","AOAH",0.00017948986546412
"91","HERC3",0.000180510615079036
"186","PTPRC",0.000180510615079036
"1459","LSM2",0.000180510615079036
"556","ITGB2",0.000185389538642495
"112","CPA3",0.000186232390152571
"1597","TXK",0.000186837576655989
"99","CD1D",0.000186897209829851
"774","NOD2",0.000187424023676397
"489","ANKRD24",0.000187456494061808
"1585","MYO15B",0.000187456494061808
"227","PLD4",0.000188535447882031
"1372","GRSF1",0.00018902930263179
"963","PTGS1",0.000189088112325824
"1602","ITGB7",0.000191106170823689
"174","CSTA",0.000192447613455873
"1590","SOSTDC1",0.000192447613455873
"1596","JSRP1",0.000192677082478984
"1101","IL17RA",0.000194496844331109
"1735","SPIB",0.000195474835921912
"1583","AC135731.1",0.000195979147146108
"1075","IGHV3-48",0.000196131782374988
"356","TLN1",0.000197248051922814
"837","VENTX",0.000197248051922814
"861","C5AR1",0.000197248051922814
"1365","MCM4",0.000198184284380398
"1562","KCNA3",0.000200467637565615
"1232","FAM117A",0.000201460400064875
"1180","CHAF1B",0.000201536003409276
"103","GLIPR2",0.000203512930143582
"529","RPS10",0.000203789336158414
"770","TM6SF1",0.000207953820750376
"652","CAMK2G",0.000211246164929216
"1701","POMT2",0.000211246164929216
"1059","XAGE1A",0.000213070046873954
"1167","GPR152",0.000213307559704182
"920","ZMYND15",0.00021399174788369
"1664","CLEC10A",0.00021399174788369
"1708","TPTEP1",0.00021399174788369
"98","PRR5L",0.000217102599050661
"415","FCHSD2",0.000217102599050661
"1449","ST3GAL4",0.000217102599050661
"422","TBX15",0.000217548854442106
"1116","TCF23",0.000217548854442106
"1626","INPP4A",0.000223741691967384
"267","BATF3",0.000223769549287659
"1057","HEPH",0.000227192859377906
"376","DPYD",0.000228790048132746
"1260","TRIM8",0.000229429875639488
"690","PTGDR",0.000230211770784761
"468","SSX1",0.000230889054983535
"1401","SH3RF2",0.000233279606002373
"1419","VPREB3",0.000236859785592217
"261","LBP",0.000239948552529588
"958","AL024509.1",0.000239948552529588
"1318","IGHV3-66",0.000239979155114281
"1624","LRRC18",0.000239979155114281
"1716","DIO3",0.000240867293233158
"938","THEMIS2",0.000241798092857854
"1631","ADAM33",0.000241798092857854
"393","TNFRSF10D",0.000241825698552786
"1503","IGHV3-49",0.000245121121657574
"772","KLRB1",0.000250187608168892
"1380","SLC49A3",0.000251418213668426
"1613","UNG",0.000251821470679825
"1669","CES4A",0.000254762679344942
"95","CCR7",0.000255011105525946
"675","MAP3K5",0.000255011105525946
"728","TBX1",0.000255232198553943
"276","TBC1D2B",0.000258961654318353
"142","SLC39A6",0.00026188587019681
"1333","C19orf38",0.00026386223690709
"1388","RPL36AP16",0.000267750895774382
"412","PTGER3",0.000267777971951688
"220","LILRB1",0.000268237210970733
"787","SNX29",0.000269392920186467
"1474","BTNL8",0.000271714306847561
"295","ROR2",0.000272152313580372
"881","CCR2",0.000272152313580372
"1071","ADIRF",0.000272152313580372
"1385","AL627309.7",0.000272152313580372
"1542","BYSL",0.000272152313580372
"569","NDUFAB1",0.000272734342494808
"476","CRYBG2",0.000273049190963
"508","PLTP",0.000273049190963
"662","CCT3",0.000273049190963
"755","FOLR3",0.000273049190963
"1580","AQP7",0.000273049190963
"1639","CYP2S1",0.00027452471431492
"1656","CMYA5",0.00027452471431492
"1017","SPATA31A3",0.000275089568187526
"1536","S1PR4",0.000275089568187526
"1618","HTR7",0.000280470417180545
"202","ADAM8",0.00028399065691575
"1512","LILRB3",0.00028399065691575
"391","H2AZ1",0.000288518689145355
"398","IGHA2",0.000288518689145355
"1570","TFEC",0.000288631644874857
"446","LAMA2",0.000290843705688584
"150","PLCL2",0.000293740580253931
"309","CTXN1",0.000293740580253931
"704","PANK1",0.000293740580253931
"921","FCRL1",0.000293740580253931
"1432","OTULINL",0.000293740580253931
"1563","ABCA6",0.000293740580253931
"87","IL4I1",0.000294229326267528
"1058","TADA1",0.000294229326267528
"1276","ADGRG5",0.000294229326267528
"182","LILRB2",0.000295003485065534
"1413","TMEM67",0.000295197232101722
"1485","GRIK3",0.000297621199942093
"911","TRANK1",0.000299537365459067
"967","GLT8D2",0.000300479311923884
"1608","EN2",0.000301226742970456
"1575","KDM2A",0.000305480054849122
"1237","PSMB5",0.000309031951416424
"1263","VSIG2",0.000311925134422737
"1206","PLEKHO1",0.000314185944369427
"1261","ADH1B",0.000316577637913586
