"","Gene","padj"
"166","COL19A1",0.000100169383824
"790","PLCB1",0.00010112038277856
"72","ZSCAN12",0.000102627509081825
"400","MINDY3",0.000102627509081825
"1376","CAPRIN2",0.000102627509081825
"1012","ASXL3",0.000106694693049481
"473","C12orf56",0.000109187615398282
"219","ZNF418",0.000116353838471162
"330","ADAM23",0.000116353838471162
"644","CDCP1",0.000116353838471162
"1212","KDSR",0.000116353838471162
"1286","RBP2",0.000116353838471162
"450","SLC1A7",0.000116518751301066
"825","ZNF257",0.000116518751301066
"115","ATP4A",0.000116773330301497
"475","ZFP28",0.000116773330301497
"169","CXCR2P1",0.000117091886185621
"971","PAK5",0.000117091886185621
"599","UBE2L6",0.000118538742687141
"1107","PKM",0.000118574189085598
"1367","PMAIP1",0.000122173754736785
"1281","LMTK3",0.000122213650775689
"457","PTPRN",0.000122848319199806
"844","TEX35",0.000124635063743782
"149","TMSB10",0.00012573562607172
"132","DIXDC1",0.00012663806930259
"437","DAZAP1",0.00012663806930259
"807","ABCC6P2",0.00012663806930259
"909","TTLL7",0.00012663806930259
"1041","DCHS1",0.00012663806930259
"1058","GLIS3",0.00012663806930259
"1320","SCAMP5",0.00012663806930259
"1196","CNTNAP4",0.000127237528368394
"102","TNR",0.000128063758259139
"1014","MRTFB",0.000128063758259139
"128","AMBP",0.00012981221845992
"506","INSM1",0.00012981221845992
"782","PLK2",0.000130768778108521
"804","BMP2",0.000130768778108521
"234","SLC39A5",0.000132599803864479
"1017","CRPPA",0.000132599803864479
"1266","LY6E",0.000135934543278013
"861","KCNK10",0.00013648296588477
"543","DDB2",0.000137565613425618
"856","AMPH",0.000137565613425618
"477","LDLRAD3",0.000137872803962238
"875","PCDHA4",0.000139101304041676
"53","CA4",0.00014331709751322
"1045","MYEF2",0.000143317243510015
"1235","CACNA2D1",0.000143350554959087
"287","LRRC8A",0.000147447163170002
"1201","NAV1",0.000147447163170002
"1274","FAM126A",0.000147447163170002
"634","HLA-DRB1",0.000147797566521531
"442","CLUL1",0.000149293499586665
"908","ZNF727",0.000149293499586665
"1120","PIFO",0.000149293499586665
"1379","ANK2",0.000149293499586665
"112","ZNF439",0.000149557051664318
"993","FAM117A",0.000149557051664318
"713","JAM3",0.000152017114342273
"1302","MAPT",0.00015435561268912
"459","MYOCD",0.000159665533258933
"699","BZW1",0.000163842328051723
"413","PRIMA1",0.000167017928350269
"1061","CKM",0.000168295792609119
"646","HLA-A",0.000175018011358751
"719","BEX1",0.000175018011358751
"1191","RETREG1",0.000175018011358751
"883","ADCY2",0.000185362136405825
"898","MAP7D2",0.000189209494595255
"565","PDGFRA",0.000190012529149146
"483","TMPRSS11E",0.000192406573362363
"1029","MPV17L",0.000194038116833212
"1005","SMTNL2",0.000195073041608884
"113","NR3C2",0.000199175899085587
"189","DNAJC25",0.000199175899085587
"570","RIMBP2",0.000199742057720705
"879","HMGCLL1",0.000205232727450313
"1206","COL4A6",0.000205232727450313
"981","ZNF480",0.000205969046767267
"242","UNC5D",0.000210048864952514
"793","GABRE",0.000210048864952514
"834","AFF3",0.000210048864952514
"318","SNPH",0.000213058540441839
"792","DCX",0.000213058540441839
"940","SENP7",0.000213058540441839
"702","CNTN4",0.000214266460416904
"378","ZC3H12B",0.000224034083544098
"4","NUDT4",0.000225914223884584
"555","ATF5",0.000225914223884584
"637","LIPF",0.000225914223884584
