"","Gene","padj"
"1350","ATP8B1",0.000100550786389042
"1355","CACNB1",0.000100550786389042
"1057","ACTL8",0.000100939141997912
"20","C1QC",0.000101681619597198
"943","PLAAT4",0.00010398093374523
"672","DNAJC17",0.000104077746863319
"1076","SLC10A7",0.000104077746863319
"662","THRSP",0.000105606995647215
"163","CXCR2P1",0.000109677759652171
"502","C4orf36",0.000110420268393278
"1256","C1R",0.000112430885621044
"496","TMEM181",0.000113159627332198
"484","PTPRN",0.000114739317737598
"475","SERPING1",0.000120990915392833
"1168","REPS2",0.00012305643718624
"1441","SPRR3",0.000125080276102143
"405","TRIM55",0.000127327263698509
"355","HAMP",0.000128538940517813
"1185","FMO5",0.000128538940517813
"391","YTHDF3",0.000129516035684199
"761","AIF1",0.000129516035684199
"1164","GPR182",0.000129516035684199
"215","KNG1",0.00013322069802654
"977","HSPB6",0.000135304146167107
"1190","DPP7",0.000135304146167107
"8","EIF2AK3",0.000135407355064465
"1142","TYMP",0.000141542728830601
"1308","POLR2F",0.000145274572644005
"669","PPP1R9A",0.000145428179331864
"1069","KCNH2",0.000145428179331864
"1159","NEUROG3",0.000145428179331864
"124","TMEM97",0.0001509135587738
"469","TTYH1",0.0001509135587738
"654","PHF6",0.0001509135587738
"861","LPCAT2",0.0001509135587738
"1059","SNORC",0.0001509135587738
"442","MYLPF",0.000154015772888163
"580","CRTAC1",0.000154193811950522
"1166","CCDC47",0.000154193811950522
"1257","MUC20",0.000154193811950522
"1433","KRT18P10",0.000154193811950522
"43","SEMA3A",0.000155927865584218
"89","VEGFB",0.000155927865584218
"440","ESR1",0.000155927865584218
"917","HAO1",0.000155927865584218
"1209","LYPD3",0.000156329813644557
"205","ATP9A",0.000157862893741961
"731","ENTPD5",0.00015932686849663
"137","ITGA8",0.000162171977861026
"1244","UBR3",0.000162171977861026
"310","PROM1",0.000167147024281894
"329","FAM174B",0.000171272811896553
"389","TTL",0.000171830169624057
"578","HECTD1",0.0001769300253523
"1300","PPP1R14B",0.000181314102013404
"185","MUC6",0.000181638475312658
"27","ENAH",0.000183059707381355
"762","AP3B2",0.000183059707381355
"811","MYBPC2",0.000183059707381355
"1296","CMKLR1",0.000183059707381355
"252","SLC2A4RG",0.000183378701759591
"337","PHLDA3",0.000183583546474333
"348","MYL2",0.000183583546474333
"6","PCSK1",0.000184267547990591
"31","OSBP2",0.000184267547990591
"1173","IFITM10",0.000187070525047329
"57","CDC42BPA",0.000192687887378821
"467","TM2D2",0.000195212845459221
"1111","TRMT112",0.000195610992808502
"903","ZC3H12C",0.000198215562476272
"1232","APOBEC3H",0.000198215562476272
"1197","PDXDC1",0.000200685135412458
"410","ISLR",0.000200966470545379
"369","B3GALT5",0.000202104829575362
"495","MKX",0.000202487618488014
"1345","NBEAL1",0.000202487618488014
"19","CLINT1",0.000205490046203942
"439","CCDC181",0.000205490046203942
"333","ENAM",0.00020595799894776
"1103","NBEA",0.000208594458405782
"759","CCDC80",0.000218072941540497
"1125","MAGI3",0.000222203558980954
"1362","TRIM2",0.000226861903826878
"101","SCRG1",0.000229220405400806
"1073","PDE8A",0.000229420596875582
"342","PLXNA2",0.000230469313836072
"1201","SAA4",0.000230469313836072
"851","ATE1",0.000231487796509252
"712","UBE4A",0.000232739374417639
"975","FNIP2",0.000232739374417639
"645","BTBD9",0.000236054245648828
"939","SEC23IP",0.000242261899258132
"108","AIP",0.000244391841978155
"904","CD74",0.000247363983851542
"5","NSF",0.000250520721913463
"822","PEG10",0.000250520721913463
"371","NDUFS1",0.000250556148398361
"752","STXBP5",0.000250901984159699
"25","AL671277.1",0.000253103273364582
"749","SCIN",0.000253797444411795
"1388","PPP4R3B",0.000254390933650704
"630","SHTN1",0.000255154541493235
"451","DAZ2",0.000256586495663628
"791","AKAP1",0.000258414378704268
"1340","KANSL1L",0.000265981990825806
"1438","STRN",0.000266782547893919
"983","NOMO3",0.000267841383792323
"835","NUFIP2",0.000271372049935377
"864","SFRP4",0.000272341938304297
"1382","BST2",0.00027339356847745
"343","COPA",0.000273614332475602
"251","GALNT7",0.000275843833103044
"412","HLA-DPB1",0.00028103864654999
"1406","SCN2A",0.000285295009811496
"1394","SH3TC2",0.000285705591110123
"237","TMEM164",0.000288081426210885
"132","RPS15",0.00029113069532978
"339","COL6A5",0.00029113069532978
"1043","RAD9B",0.000293629586401839
"317","CCL28",0.000304339685028211
"963","ERBB3",0.000307432179148257
"115","NR3C2",0.000310292887752524
"804","KBTBD7",0.00033421774308784
"989","SLC5A5",0.000336198348049177
"1412","ATP6AP1L",0.00033768484533589
"697","GPR160",0.000343662663607769
"914","XKRX",0.000343662663607769
"1144","ADH1C",0.000343662663607769
"847","CBR3",0.000344323317301378
"1122","GALNT3",0.000344323317301378
"90","C4orf19",0.000350104461234015
"242","MMP13",0.000350104461234015
"474","ARFGEF1",0.000351130373657623
"149","HS6ST3",0.000352265951352451
"810","HLA-DOA",0.000352265951352451
"1311","LY6E",0.000357027678520647
"519","INAFM1",0.000361356066828769
"509","TMPRSS11E",0.000361684239439679
