"","Gene","padj"
"45","SCAND1",0
"83","BLOC1S3",0
"157","HMCN1",0
"179","BAD",0
"210","PYGO2",0
"224","CRK",0
"414","TRIM11",0
"437","MXD4",0
"486","ORMDL3",0
"601","TIMM10B",0
"689","MT-CO1",0
"903","BRD3OS",0
"1128","NBDY",0
"1167","UBL4A",0
"1230","MRFAP1",0
"1293","SNX12",0
"1343","FRAT2",0
"1550","MT-CO3",0
"1593","MTCO1P12",0
"1620","MAFG",0
"1648","MRPS14",0
"1659","CENPX",0
"1724","OPA3",0
"1833","B3GALT6",0
"2178","ZACN",0
"2180","MT-ND6",0
"2192","MTLN",0
"2204","PIGBOS1",0
"2401","MT-ND3",0
"2410","TMEM203",0
"2500","C19orf25",0
"1470","PPIB",0.000100319717079241
"380","RPL11",0.000100510156254744
"1249","RNF6",0.000100742382566777
"929","INSC",0.00010088134756612
"2107","TOMM20P2",0.000101086164192054
"2112","OR4F8P",0.000101294159198674
"1153","PLEKHN1",0.000101374956827791
"1720","MAMDC2",0.000101374956827791
"2291","ZNF230",0.000101588206067618
"836","CEP85",0.000101651856114576
"966","AL137058.1",0.0001022984285718
"899","RPL36AP40",0.000102433856924026
"1252","SH2D1A",0.000102466703084649
"406","FAM186B",0.000102565749172642
"1105","MOSMO",0.000102754164746375
"1524","GPR45",0.000102907261919531
"935","CILP2",0.000102945297323045
"1355","LMBRD1",0.000103353952249297
"1323","TOP2A",0.000103529583085428
"2384","SUPT16H",0.000104006035126412
"2485","AC015849.5",0.000104293446252284
"235","AC090568.1",0.000104413005205958
"851","PSTK",0.000104427277356197
"1235","ADGRF3",0.000104943767797863
"1016","OFD1P17",0.000104973112843251
"109","ARMH2",0.000104997818826327
"989","EIF4BP5",0.000105053403090868
"664","MANSC4",0.000105353250260676
"918","ALG1L15P",0.000106030632339022
"1822","ISL1",0.000106030632339022
"1037","MAGEE2",0.000106490999300137
"2288","STK24",0.000106515228774373
"1056","TOGARAM2",0.000106671609141144
"1069","GJA9",0.000106881256072564
"2177","SSX2",0.000107397259691916
"2427","GTPBP1",0.000107733222394574
"1419","RNA5SP145",0.000108023173874351
"2078","NEURL4",0.000108709336920781
"2497","PXYLP1",0.000108915291468366
"1996","AL512378.1",0.000109885114714314
"2039","MTCO3P11",0.000110007734321679
"324","SLC22A11",0.000110506415919858
"1905","RNF121",0.000110590250204579
"121","TCP1",0.000110601850505359
"2376","ANO1",0.000110701453604404
"1878","PDE4B",0.00011088444952937
"1309","CBX3P1",0.000111166783629594
"60","PLA2G3",0.00011119916168147
"811","DEFA5",0.000111746600439621
"998","ZSCAN10",0.000111746600439621
"1966","KLKB1",0.000112242075282487
"372","PAPSS1",0.000112437530498472
