"","Gene","padj"
"1345","XPO5",0.000100346570858043
"1765","CCL5",0.000100430953963152
"1333","PSMB4",0.000100457672433704
"12","APEX1",0.000101011658383347
"855","KRT75",0.000102325119640461
"2005","ADAM33",0.000102325119640461
"200","CD226",0.000102824701258547
"49","EBI3",0.000103722840364417
"797","TRAV25",0.000103968908855255
"1853","IGHV3-49",0.000103968908855255
"1934","RPL36A",0.000103968908855255
"984","PTCRA",0.000104098794014467
"362","CORO2B",0.000104270894588995
"898","EIF3K",0.00010509794808226
"663","SEMA6B",0.000105598356759653
"2156","AL669918.1",0.000105598356759653
"2021","DTWD2",0.000106418762166114
"478","ALPK2",0.000106650673047484
"1189","ERCC5",0.000106660113381452
"439","NUAK2",0.000106681725925512
"20","CBLN3",0.000106704228388508
"90","TRAV9-2",0.000106976633639911
"972","LRP1",0.000106976633639911
"466","MRFAP1L1",0.000110683354250591
"1893","C2",0.000111431366985564
"2102","FCER1A",0.000111471228096217
"1041","NBPF12",0.000111494014933471
"389","CASP5",0.000112146556150546
"652","PVRIG",0.000112146556150546
"1161","PAPPA",0.000112146556150546
"382","PALM2AKAP2",0.000113348970181591
"1633","NUDT19",0.000113348970181591
"1656","PYGM",0.000113348970181591
"154","IFT52",0.000113452597466548
"715","NDUFAB1",0.000113770927691298
"1884","SLC35D2",0.000115120311059603
"2188","RNF149",0.000115586910093759
"1338","MBOAT2",0.000116620604086512
"1715","IQSEC3",0.000116740268446586
"400","AC133555.4",0.000116893903662915
"406","BNC1",0.000117021489598745
"1844","KCTD11",0.000117758282141076
"2130","PPIAL4C",0.000117928224998535
"667","TRAV38-2DV8",0.000119054272252588
"215","UBE2E1",0.000120088480963653
"350","GGPS1",0.000120088480963653
"938","SLIT3",0.000120407535699332
"588","C15orf61",0.000121287232241162
"858","RPLP0P6",0.000121287232241162
"2131","FXYD2",0.000121287232241162
"1504","TMCO4",0.000121857766568194
"1988","MB21D2",0.000122989011031377
"1920","FOXL1",0.000123069884216761
"1961","SP100",0.00012333032393312
"108","ARHGAP5",0.000123556986956373
"1892","SLC25A33",0.000124273634959223
"1368","DUOX1",0.000124530086377837
"757","KDM1B",0.000125007846346959
"1869","ISM1",0.000125007846346959
"122","UQCRQ",0.000125542475346088
"562","HOXA13",0.000125542475346088
"1247","HMGB1P3",0.000125569802397072
"1111","BTF3P3",0.000126014435766137
"951","FAM210B",0.000126091923973286
"1870","YIPF4",0.000126306686933026
"1691","RHEX",0.000127331970627891
"1993","CXCL11",0.000127331970627891
"615","DOK1",0.000128986114588401
"957","RPS24",0.000128986114588401
"476","LETM1",0.000129267422429668
"1537","E2F3",0.000129387090075035
"527","BPIFC",0.000131372193736673
"697","CSTF1",0.000131654166928175
"153","CLEC3B",0.000132125801097397
"1835","RPS27L",0.000132125801097397
"1786","CASS4",0.000133005777459675
"1848","WDR83OS",0.000134219728418387
"698","CUTA",0.000134605737136219
"1498","BCAT1",0.000134605737136219
"11","OGFR",0.000135102307957316
"483","RARRES1",0.000135264607285644
"175","GALNT13",0.000136126331511158
"706","STAT4",0.000136643686008488
"846","MAP3K5",0.000136643686008488
"1236","A2ML1",0.000136643686008488
"94","TMEM33",0.000136776278429599
"1060","TLR4",0.000136776278429599
"1282","C12orf45",0.000136800730385221
"101","HAL",0.000139485308627323
"967","DKK2",0.000139522086164686
"1948","CDK11A",0.00013997039677018
"670","KIAA0513",0.000141088579156709
"1437","TTC39B",0.000141088579156709
"1471","RPL21",0.000141088579156709
"1650","ARIH1",0.00014149660960214
"688","DIPK2B",0.000141752816427142
"1789","POTEM",0.000142275964916546
"1317","MECOM",0.000143037065409655
"1420","CST6",0.000143265124611822
"358","THOC7",0.000146734794269505
"78","AC099548.2",0.000147424556597803
"1109","SLC38A4",0.000147424556597803
"1669","RAB25",0.000147424556597803
"2129","ILRUN",0.000147790581917868
"330","BEND4",0.000148224059770123
"694","ARNTL",0.000148398143997155
"1879","TXNIP",0.000148855916262091
"435","QARS1",0.000149213663371651
"1903","SF3B4",0.000149817773182976
"2080","MMP3",0.000149937608898781
"1094","NDUFC1",0.000150389502360823
"251","TMEM200A",0.000150772380322063
"226","DMPK",0.000151253949129774
"2047","INHBB",0.000151253949129774
"887","NCEH1",0.000151895153090656
"1612","GGH",0.000151895153090656
"2099","GSK3A",0.000151895153090656
"902","KIAA2012",0.000151970980459444
"1102","CCDC80",0.000154129136860379
"1418","UQCR10",0.000154129136860379
"23","CD300E",0.000154152769537461
"115","NDUFB6",0.000154173137741667
"1718","IGLC2",0.000154542637471858
"278","SLC25A3",0.000155003045914895
"647","PMEPA1",0.000155035496824657
"1676","RPL22P1",0.000155035496824657
"509","QSER1",0.000155037788981453
"1197","GABRE",0.000155630820763792
"2006","HSBP1",0.000155630820763792
"383","IL11",0.000155924430289132
"618","FYCO1",0.000155924430289132
"106","CDH11",0.000158654251312675
"1242","AC243960.2",0.00015966812837372
"1438","SLC12A7",0.000160523571635187
"1214","ARV1",0.000160832236685777
"705","ZNF706",0.000161464938817874
